geneID	BJ278C1	BJ278C2	BJ278C3	BJ278P1	BJ278P2	BJ278P3	BJ89C1	BJ89C2	BJ89C3	BJ89P1	BJ89P2	BJ89P3
ONIVA08G17850	-2.999238731898855	-5.295628724322807	-5.0228377332990934	4.38398906097243	5.094479889601115	4.587139801045765	-5.083265333488974	-5.049446693642888	-5.248909221613709	5.393336910533605	4.396670419662661	4.880958250027454
ONIVA08G19930	6.256200196499008	6.808049852323111	8.071492112352397	-1.7913810985855847	4.538402375876171	1.1388537187389973	8.195617714698589	8.076696038214838	8.213301332039538	-4.231981079047135	-1.8336216309300652	-1.5873946588814616
ONIVA09G00350	-5.322387019544627	-5.295628724322807	-5.0228377332990934	5.544337985786875	5.845159118720514	6.165991223627062	-3.50267210909641	-0.9766997662706816	-3.671091219373845	4.480105044745108	5.387046974374549	3.842501020985444
ONIVA09G10510	-1.4134575896297508	-1.2112899599298552	-1.8456789323293779	4.686847226564152	4.354927218185435	4.253196179448488	-3.496743089177249	-5.049446693642888	-5.248909221613709	6.146756236524028	5.721916861447945	5.877722441722156
ONIVA09G15580	3.5712104592588187	2.9002789416166634	3.857441122358912	-5.25471665226864	-2.9243417474459164	-3.810642083193294	5.689893245874704	3.6655371718056915	3.6756346024989788	-3.4911277243283645	-4.337237018192827	-3.660502646280339
ONIVA09G18980	-5.322387019544627	-3.71610036875455	-2.2102930520997917	5.015758784626671	5.753856227391475	4.256535931819806	-5.083265333488974	-5.049446693642888	-0.9892628072591958	6.817552313534013	6.648119995807314	6.358121569333306
ONIVA10G17040	-0.2345791007555134	-0.39287438192362995	0.1457337248629186	6.358210243892475	6.409288453432581	6.888317789610085	-5.083265333488974	-5.049446693642888	-2.970577554257764	5.90388799052993	5.8120160035149775	6.635703117686746
ONIVA10G22110	4.276753264004859	3.8502402626486307	4.405926270869369	-5.25471665226864	2.2036403266369238	3.3995823305416595	4.575348230784043	4.723761265893885	4.58250454685992	-5.812608100335952	-5.924044164165511	-5.982592300712929
ONIVA11G10870	-2.511356808444318	-5.295628724322807	-5.0228377332990934	3.9264281378130503	4.245692657597831	4.4190976185830015	-1.629756335553725	-3.4760245214627368	-3.6726600435547256	3.1366121039503754	3.967663676464712	2.704031392700927
ONIVA11G12140	-5.322387019544627	-5.295628724322807	-3.4384224986032734	1.1555103637430542	4.02145789084742	4.2380709235593645	-3.5022850888932786	-1.5980227313768984	-3.6649377106272727	4.7099461761828145	4.626663397261159	5.13463299265178
ONIVA12G05380	-3.7475158528634718	-3.0029882995449224	-2.203798730319374	6.003258999767295	7.948657409387377	7.837074148796739	-0.5540041698709307	0.10975727185934621	0.4083987391238155	8.021394958269108	7.8886520039561745	8.760769103162842
