CRR240980_r2	416.0	235.0	40.0	21.0	14.5	8.5	3.5	2.5	3.0	3.5	9.0	17.5	25.0	33.0	61.0	116.5	159.0	240.0	523.0	662.5	820.5	1214.0	1596.5	2861.0	4782.0	5992.0	7253.5	10006.0	13520.0	17007.5	23442.5	30167.5	34928.5	42758.5	55233.5	71519.5	92834.5	120811.5	152533.5	188135.0	227495.0	272031.5	316194.0	353578.0	392505.5	429118.5	456514.0	492912.0	584509.5	630274.0	553511.5	495032.0	475655.5	437723.5	414829.0	424882.5	436396.5	432566.5	423531.5	423265.0	445145.0	462867.0	482554.0	503559.0	529490.0	576184.0	639244.5	683336.0	689543.5	685620.5	688924.0	690476.5	653823.0	608511.5	569273.5	508123.0	441926.0	376394.5	301716.5	215560.0	137372.0	88022.5	50395.5	24139.5	9908.5	3241.5	976.0	227.0	46.0	18.0	8.0	4.5	3.0	1.5	1.5	1.5	2.0	3.5	3.5	3.5	8.0
CRR240981_f1	14.0	8.0	2.0	3.5	4.0	2.5	2.5	4.0	6.0	9.5	10.5	15.0	22.0	22.5	38.0	70.0	104.5	154.0	256.0	443.0	777.5	1237.0	2163.0	3728.5	5748.5	8083.0	10950.5	13936.0	18199.0	25341.5	35582.5	46483.5	62510.5	83279.5	108365.5	137274.5	171582.5	214701.5	261833.0	311935.5	361918.5	418594.0	480319.0	523073.5	548481.0	564627.0	568520.0	573484.5	559908.5	542819.0	521758.5	478709.0	442488.5	430374.5	432792.5	427678.0	413402.5	407129.0	396036.0	393438.5	428074.5	447845.0	466180.5	496256.5	511707.0	552814.5	593840.0	595721.5	605459.0	626050.5	616951.0	583603.0	531829.5	477853.0	432237.0	383096.0	335178.5	277187.5	216258.0	162298.5	110032.5	68081.5	37431.0	16100.0	6329.0	2201.5	555.5	95.0	12.5	2.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
CRR240981_r2	390.0	213.5	25.0	10.5	6.0	3.5	2.5	2.0	3.0	4.5	12.0	18.5	33.5	56.5	87.5	162.5	224.5	322.0	596.0	747.0	901.0	1335.5	1882.0	3339.5	5427.5	6534.5	7848.5	10971.5	14965.0	18841.5	25759.0	33769.5	39928.5	48220.0	62185.0	82126.0	107441.0	140450.5	180188.0	222678.0	267872.0	319862.0	370998.5	412147.5	447069.0	472270.5	488975.5	504251.5	529815.5	526707.0	488098.0	465731.5	443509.0	412388.0	393050.0	393879.0	400098.0	393771.5	389031.0	399022.0	422586.0	439551.0	457888.5	475056.5	498147.0	545777.5	605642.5	646513.0	659238.5	665853.0	683224.5	697970.5	669756.5	626663.0	590527.0	537716.5	476458.0	409977.0	334051.0	244590.0	158191.5	101652.5	59248.5	29975.5	13267.0	4390.5	1339.5	311.5	54.0	17.5	7.5	3.5	2.5	0.5	0.5	1.0	1.5	2.0	1.5	3.0	7.5
CRR240982_f1	13.0	9.5	5.5	4.0	3.5	5.0	8.5	11.0	11.0	12.5	15.5	28.0	32.0	38.0	66.5	93.5	140.0	203.5	344.5	558.0	976.5	1510.0	2418.5	3797.5	5670.5	8477.5	11319.0	14796.0	19697.5	26284.5	35048.5	45676.5	65117.0	88483.0	112928.5	143518.5	173723.0	209358.5	252965.5	294172.0	333288.0	386221.0	449767.0	495278.0	521150.5	533421.0	523083.5	519566.0	516752.5	524803.5	516262.0	468803.0	425703.5	395479.5	410745.5	426308.0	406662.0	399989.5	390406.5	385159.5	468298.5	517321.5	543259.0	560120.0	543701.5	575769.0	610594.5	620211.0	632464.0	651858.5	632157.0	601304.5	566118.0	529697.5	478714.5	413796.5	361468.5	295784.5	224634.5	164832.5	112168.0	72903.5	40164.5	18333.5	8424.0	3011.5	621.0	111.0	15.5	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CRR240982_r2	891.0	485.5	58.5	30.0	17.0	9.0	5.5	4.0	3.0	3.5	14.0	25.5	39.0	62.5	118.5	194.5	291.0	374.5	669.5	908.5	1184.0	1723.5	2199.5	3015.0	4609.5	6585.0	8797.5	12077.0	15726.0	19181.0	23665.5	29837.0	36350.5	44439.0	56444.5	73566.0	96294.0	122969.5	154459.0	190263.5	231887.5	278623.5	322532.5	359163.0	393509.0	421416.0	442555.5	463971.0	512227.0	540626.0	518326.5	516216.0	484657.5	416272.5	392009.0	405443.5	417406.5	412527.0	406417.0	409974.0	439426.0	461422.0	478610.0	497091.5	518187.0	570829.0	627815.5	665769.0	685302.5	692355.5	703332.5	717543.0	711887.5	682201.5	632222.5	568899.5	498547.0	421624.5	337289.5	245347.0	162134.0	105589.5	62840.0	32701.5	15180.0	5418.0	1328.5	310.5	78.0	15.0	5.5	3.5	3.0	2.0	1.5	1.5	1.5	3.0	3.0	2.0	8.5
CRR240983_f1	10.0	10.0	6.0	4.0	6.5	6.5	7.5	5.0	3.5	7.0	9.0	11.0	14.0	19.0	44.5	64.0	102.0	188.0	265.0	420.5	842.5	1299.5	2265.0	3746.5	5337.0	7747.5	10587.0	13514.0	17637.0	23936.0	32552.0	42568.5	61156.0	83010.5	105382.5	133015.5	160752.0	195749.5	234531.5	273843.0	312535.5	362528.5	423126.5	463605.5	486792.5	505234.5	506778.5	512442.5	510782.0	515141.5	511016.0	473587.0	436139.0	414391.0	439217.5	461573.0	450075.5	442579.0	424839.5	416944.5	502623.5	544033.5	570577.0	592821.0	563081.5	593039.0	647482.0	666937.0	674403.5	693383.0	673091.0	646123.5	614720.5	573048.0	519134.0	448686.0	392627.0	327700.0	256026.0	194471.0	139024.0	97077.0	57834.0	28993.5	14704.5	6151.0	1772.0	302.0	56.0	14.0	7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5
CRR240983_r2	496.0	281.5	50.5	25.5	12.5	8.0	8.5	7.0	5.0	6.0	7.5	18.0	29.0	53.0	113.5	188.5	277.0	367.5	680.5	879.5	1123.5	1706.5	2100.5	2863.5	4400.5	5830.5	7142.0	10175.5	14021.0	17247.0	21479.5	27545.0	33812.5	40411.5	50545.5	66852.5	88782.0	114257.0	142340.0	176180.5	214985.0	258649.0	301914.0	336109.5	368104.5	396655.0	424019.0	450169.5	495645.5	523754.5	510095.0	522618.0	497911.0	435161.0	421250.5	434135.5	443182.5	437560.5	430800.0	431568.5	456787.5	475597.0	496545.0	522115.5	545673.0	606917.5	674565.5	718796.5	739562.5	739861.5	745661.5	759366.5	752605.0	717857.0	666415.0	606839.5	536717.0	458782.0	373324.5	277498.5	189251.5	128356.5	80950.5	46932.0	23854.0	9032.5	2792.5	685.0	157.5	32.5	9.0	3.5	3.5	2.5	1.5	2.0	1.0	1.0	2.0	3.5	7.0
CRR240984_f1	18.0	12.0	4.5	7.0	10.0	7.0	8.0	11.5	11.0	14.5	17.5	17.5	21.0	38.0	61.0	83.5	125.0	191.5	299.5	468.0	902.0	1393.0	2194.5	3380.5	4865.5	7048.0	9381.5	12480.0	17218.5	23924.0	32888.5	43927.5	62289.0	85681.5	112124.0	143195.0	178036.5	220987.5	268883.5	316796.5	364548.0	425055.0	491733.0	542233.5	576410.0	599899.0	597579.5	596077.0	592513.5	594356.5	584918.0	540634.0	499961.5	473023.0	494213.0	515403.0	496489.0	478209.5	455784.5	445416.5	534178.0	583128.0	615900.5	641949.5	612601.0	624282.0	655664.0	673514.0	678739.5	690496.5	666957.5	636635.5	595711.5	545320.0	483966.5	409352.0	345708.0	273871.5	201551.0	143116.0	93599.0	57730.5	29426.0	11364.5	4192.5	1171.0	234.5	33.5	6.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CRR240984_r2	991.0	532.0	53.5	30.5	20.5	13.0	9.0	4.5	3.0	4.5	11.0	25.0	38.0	54.5	116.0	183.0	264.5	387.5	619.0	779.0	1023.5	1467.0	1866.5	2587.5	3987.5	5434.0	7185.0	10064.5	13088.5	16378.0	21053.0	27361.5	34321.0	42952.5	56296.5	75652.5	101286.0	131770.5	166142.0	207822.5	256531.0	308418.0	358407.5	401278.5	442593.5	474463.0	497675.5	520245.5	559826.0	589874.5	587615.5	600196.5	569064.5	499990.0	480827.0	495337.0	499587.5	486122.5	473584.0	469038.5	492879.0	514909.0	539044.0	563506.0	585181.0	643663.5	709681.0	747746.5	760334.5	759073.5	760605.0	765477.5	747769.5	702770.0	643055.5	572213.0	487583.0	398058.5	310126.5	219507.5	138568.5	83241.5	44422.0	20508.0	8393.5	2640.0	645.5	122.5	30.5	9.5	6.5	3.5	3.5	3.5	4.0	3.0	1.0	1.5	1.0	1.5	9.5
CRR240985_f1	74.0	45.0	17.0	17.5	18.5	18.5	20.0	21.0	15.0	23.5	35.5	31.5	33.5	56.5	149.0	202.5	194.5	325.0	596.0	849.0	1476.0	2297.0	3788.0	5360.0	7837.5	11576.5	15387.5	20244.0	27648.5	39557.0	54726.5	71753.5	98207.5	134690.0	176461.5	224577.5	276239.5	337758.0	409470.5	481576.0	550364.0	623215.0	693805.0	753246.5	792502.0	810980.5	798741.5	787669.5	779722.0	798394.5	798133.5	729095.0	658569.5	602586.5	608389.0	617338.5	575186.0	533717.5	496977.0	470040.0	498148.0	518588.0	544650.0	548288.5	525199.5	561003.0	603583.5	599570.0	580891.5	583380.5	565472.5	542003.0	497345.5	442201.0	395135.0	337817.0	285073.0	235111.0	186202.0	138089.5	89274.0	52943.0	29865.0	13426.5	5343.0	1591.0	406.5	73.5	11.5	1.5	1.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
